season,player_name,position_x,team_x,espn_rank,pct_championship_rosters,adp_overall,draft_status,season_ppr_points,espn_category,narrative_label,explicitly_named_league_winner,reasoning_paraphrase,inclusion_rule,coverage_type,article_title,article_author,article_publication_date,article_url,extraction_confidence,ambiguity_notes,player_norm,player,name,position_y,team_y,mean_adp,median_adp,n_drafts,abs_diff,signed_diff
2025,Matthew Stafford,QB,LAR,15,15.7,159.9,drafted,323.72,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,matthew stafford,9431,"Stafford, Matthew",QB,LAR,152.76859504132233,160.0,121,7.1314049586776775,-7.1314049586776775
2025,Amon-Ra St. Brown,WR,DET,17,15.3,11.3,drafted,299.1,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,amon-ra st brown,15287,"St. Brown, Amon-Ra",WR,DET,10.875647668393782,10.0,193,0.42435233160621877,-0.42435233160621877
2025,Kyren Williams,RB,LAR,21,14.4,30.7,drafted,252.2,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,kyren williams,15710,"Williams, Kyren",RB,LAR,22.71875,21.0,192,7.981249999999999,-7.981249999999999
2025,Jahmyr Gibbs,RB,DET,22,14.4,5.2,drafted,346.6,on_champion_roster_ranked_table,led this list last season (29.0%); no worse than 22nd in each of first 3 seasons,No,led this list last season (29.0%); no worse than 22nd in each of first 3 seasons,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,jahmyr gibbs,16162,"Gibbs, Jahmyr",RB,DET,4.356020942408377,4.0,191,0.8439790575916231,-0.8439790575916231
2025,Ja'Marr Chase,WR,CIN,23,14.3,1.5,drafted,290.0,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,jamarr chase,15281,"Chase, Ja'Marr",WR,CIN,1.9842931937172774,1.0,191,0.4842931937172774,0.4842931937172774
2025,George Pickens,WR,DAL,24,14.3,75.9,drafted,290.0,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,george pickens,15762,"Pickens, George",WR,DAL,68.76595744680851,67.0,188,7.134042553191492,-7.134042553191492
2025,Derrick Henry,RB,BAL,26,13.9,14.7,drafted,266.9,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,derrick henry,12626,"Henry, Derrick",RB,BAL,9.932291666666666,9.0,192,4.767708333333333,-4.767708333333333
2025,George Kittle,TE,SF,27,13.6,36.9,drafted,153.6,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,george kittle,13299,"Kittle, George",TE,SFO,44.62105263157895,43.0,190,7.721052631578949,7.721052631578949
2025,Nico Collins,WR,HOU,32,12.7,15.2,drafted,226.2,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,nico collins,15290,"Collins, Nico",WR,HOU,16.083333333333332,14.0,192,0.8833333333333329,0.8833333333333329
2025,Wan'Dale Robinson,WR,NYG,33,12.6,163.4,drafted,217.9,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,wandale robinson,15757,"Robinson, Wan'Dale",WR,NYG,146.06201550387595,146.0,129,17.33798449612405,-17.33798449612405
