pick,name,position,team,overall_adp
12.01,Adrian Peterson,RB,CHI,132.6
12.01,Philadelphia Defense,DEF,PHI,132.9
12.03,J.P. Losman,QB,BUF,134.6
12.03,Jeff Wilkins,PK,STL,135.1
12.06,Dominic Rhodes,RB,OAK,138.1
12.06,James Jones,WR,GB,138.1
12.07,Dwayne Jarrett,WR,CAR,138.9
12.07,Matt Schaub,QB,HOU,139.2
12.08,Eddie Kennison,WR,KC,140.0
12.09,Shayne Graham,PK,CIN,140.8
12.09,Nate Kaeding,PK,SD,141.0
12.09,Heath Miller,TE,PIT,141.4
12.11,Wes Welker,WR,NE,143.2
12.12,Ted Ginn,WR,MIA,144.1
13.01,Dallas Defense,DEF,DAL,145.3
13.02,Kevin Faulk,RB,NE,146.1
13.02,Troy Williamson,WR,MIN,146.2
13.03,Chad Pennington,QB,NYJ,146.6
13.03,Dwayne Bowe,WR,KC,146.7
13.03,Dallas Clark,TE,IND,146.9
13.03,Rex Grossman,QB,CHI,147.1
13.04,Robbie Gould,PK,CHI,147.6
13.04,Bobby Wade,WR,MIN,147.9
13.06,Trent Green,QB,MIA,150.2
13.06,Michael Bush,RB,OAK,150.5
13.07,Jeff Garcia,QB,TB,150.7
13.07,Owen Daniels,TE,HOU,150.9
13.07,Jacoby Jones,WR,HOU,151.3
13.08,Neil Rackers,PK,ARI,151.9
13.09,Carolina Defense,DEF,CAR,152.6
13.09,Eric Johnson,TE,NO,153.1
13.09,T.J. Duckett,RB,DET,153.5
13.09,Greg Olsen,TE,CHI,153.5
13.11,Robert Meachem,WR,NO,154.5
13.11,Brian Leonard,RB,STL,154.8
13.11,Maurice Morris,RB,SEA,155.1
13.11,Jason Campbell,QB,WAS,155.4
13.12,Correll Buckhalter,RB,PHI,155.6
13.12,Patrick Crayton,WR,DAL,155.7
13.12,Najeh Davenport,RB,PIT,156.2
13.12,Amani Toomer,WR,NYG,156.3
13.12,Anthony Thomas,RB,BUF,156.4
13.12,Arnaz Battle,WR,SF,156.4
14.01,Mike Anderson,RB,BAL,156.5
14.01,Michael Jenkins,WR,ATL,157.1
14.02,Chris Perry,RB,CIN,157.9
14.02,Michael Pittman,RB,TB,158.0
14.02,Michael Clayton,WR,TB,158.3
14.03,Stephen Gostkowski,PK,NE,158.6
14.03,Sammy Morris,RB,NE,159.3
14.03,Nate Burleson,WR,SEA,159.5
14.04,Ron Dayne,RB,HOU,159.7
14.04,Bo Scaife,TE,TEN,159.7
14.04,Minnesota Defense,DEF,MIN,160.2
14.04,Byron Leftwich,QB,JAC,160.4
