pick,name,position,team,overall_adp,high,low
1.01,LaDainian Tomlinson,RB,SD,1.3,1.01,1.11
1.03,Adrian Peterson,RB,MIN,2.6,1.01,1.08
1.03,Brian Westbrook,RB,PHI,2.9,1.01,1.12
1.05,Joseph Addai,RB,IND,4.9,1.01,1.10
1.05,Steven Jackson,RB,STL,5.1,1.01,1.10
1.06,Tom Brady,QB,NE,5.9,1.01,2.03
1.07,Marion Barber,RB,DAL,6.8,1.02,2.02
1.08,Randy Moss,WR,NE,8.2,1.03,2.02
1.09,Frank Gore,RB,SF,9.4,1.04,2.06
1.10,Clinton Portis,RB,WAS,10.1,1.05,2.07
1.11,Marshawn Lynch,RB,BUF,11.3,1.05,2.07
1.12,Terrell Owens,WR,DAL,11.6,1.06,2.07
2.02,Reggie Wayne,WR,IND,14.0,1.08,3.01
2.03,Peyton Manning,QB,IND,15.4,1.04,3.04
2.04,Braylon Edwards,WR,CLE,15.9,1.09,3.01
2.04,Larry Johnson,RB,KC,16.3,1.07,3.06
2.06,Tony Romo,QB,DAL,18.2,1.06,3.09
2.06,Andre Johnson,WR,HOU,18.2,1.09,3.04
2.07,Larry Fitzgerald,WR,ARI,18.9,1.11,3.05
2.07,Ryan Grant,RB,GB,19.1,1.07,3.11
2.08,Marques Colston,WR,NO,20.1,1.11,3.08
2.09,Maurice Jones-Drew,RB,JAC,21.1,1.09,3.11
2.12,Drew Brees,QB,NO,23.7,1.10,4.07
2.12,T.J. Houshmandzadeh,WR,CIN,24.0,2.03,4.01
3.02,Jamal Lewis,RB,CLE,26.0,2.01,4.07
3.04,Willis McGahee,RB,BAL,28.3,2.02,5.01
3.04,Plaxico Burress,WR,NYG,28.5,2.07,4.06
3.06,Steve Smith,WR,CAR,29.6,2.06,4.12
3.06,Chad Johnson,WR,CIN,30.0,2.04,4.11
3.07,Torry Holt,WR,STL,30.6,2.06,4.10
3.07,Reggie Bush,RB,NO,31.4,2.04,5.07
3.09,Wes Welker,WR,NE,33.0,2.09,5.03
3.10,Santonio Holmes,WR,PIT,33.9,2.09,5.01
3.10,Thomas Jones,RB,NYJ,34.1,2.07,5.10
3.10,Brandon Jacobs,RB,NYG,34.1,2.07,5.06
4.01,Anquan Boldin,WR,ARI,37.1,2.11,5.04
4.02,Brandon Marshall,WR,DEN,37.6,2.06,6.02
4.04,Willie Parker,RB,PIT,40.3,2.08,5.11
4.04,Calvin Johnson,WR,DET,40.4,2.10,6.03
4.04,Laurence Maroney,RB,NE,40.5,2.09,5.11
4.05,Roy Williams,WR,DET,40.6,3.01,5.11
4.05,Michael Turner,RB,ATL,40.7,2.10,6.05
4.06,Carson Palmer,QB,CIN,42.1,2.06,6.05
4.08,Jason Witten,TE,DAL,43.6,3.04,5.12
4.08,Darren McFadden,RB,OAK,44.0,3.01,6.03
4.09,Marvin Harrison,WR,IND,44.9,3.05,6.05
4.11,Ben Roethlisberger,QB,PIT,47.0,2.10,7.05
4.11,Earnest Graham,RB,TB,47.1,3.02,7.08
5.02,Greg Jennings,WR,GB,49.7,3.09,6.09
5.02,Ronnie Brown,RB,MIA,50.1,3.04,6.08
5.04,Antonio Gates,TE,SD,51.6,3.11,6.12
5.05,Jerricho Cotchery,WR,NYJ,52.9,3.08,8.03
5.05,Kellen Winslow,TE,CLE,53.1,3.12,7.05
5.08,Dwayne Bowe,WR,KC,56.0,3.12,7.04
5.08,Jonathan Stewart,RB,CAR,56.1,4.01,7.07
5.09,Derek Anderson,QB,CLE,56.8,3.04,8.06
5.09,Selvin Young,RB,DEN,57.3,4.01,8.06
5.10,Edgerrin James,RB,ARI,57.9,4.01,7.11
6.01,Hines Ward,WR,PIT,60.7,4.03,7.08
6.01,Chris Chambers,WR,SD,61.3,4.05,8.04
6.02,Dallas Clark,TE,IND,62.3,4.06,9.05
6.02,Laveranues Coles,WR,NYJ,62.3,4.05,8.03
6.04,Tony Gonzalez,TE,KC,64.0,4.10,8.01
