pick,name,position,team,overall_adp,high,low
6.04,Lee Evans,WR,BUF,64.2,4.07,8.05
6.04,Rudi Johnson,RB,CIN,64.2,4.01,8.06
6.05,Roddy White,WR,ATL,64.6,4.08,7.11
6.05,Kevin Smith,RB,DET,65.4,4.07,8.07
6.06,LenDale White,RB,TEN,65.9,4.08,8.12
6.08,Matt Forte,RB,CHI,67.8,4.09,9.02
6.08,Donovan McNabb,QB,PHI,68.0,4.01,9.08
6.11,Donald Driver,WR,GB,71.1,5.02,8.10
7.02,Julius Jones,RB,SEA,73.8,4.11,9.01
7.03,Chris Cooley,TE,WAS,74.8,5.05,9.05
7.03,Santana Moss,WR,WAS,75.0,5.05,10.01
7.03,Matt Hasselbeck,QB,SEA,75.0,4.05,9.09
7.03,Jeremy Shockey,TE,NO,75.5,5.03,11.06
7.04,Anthony Gonzalez,WR,IND,76.0,5.03,9.08
7.07,Joey Galloway,WR,TB,78.9,5.08,9.12
7.08,DeAngelo Williams,RB,CAR,79.9,5.01,10.04
7.08,Fred Taylor,RB,JAC,80.0,5.07,10.03
7.09,Brett Favre,QB,NYJ,81.0,4.10,10.06
7.10,Rashard Mendenhall,RB,PIT,81.9,5.07,10.06
7.11,Nate Burleson,WR,SEA,82.6,5.05,10.10
7.11,Ricky Williams,RB,MIA,82.9,5.04,10.11
7.12,Chester Taylor,RB,MIN,84.3,5.08,10.03
8.03,Jay Cutler,QB,DEN,86.6,5.04,10.11
8.03,Chris Johnson,RB,TEN,86.8,5.09,10.12
8.04,Patrick Crayton,WR,DAL,87.6,5.09,11.01
8.05,Bernard Berrian,WR,MIN,88.5,6.01,10.11
8.07,David Garrard,QB,JAC,90.8,5.10,10.12
8.08,San Diego Defense,DEF,SD,91.5,6.02,10.06
8.08,Deuce McAllister,RB,NO,91.8,5.11,11.04
8.08,Marc Bulger,QB,STL,92.1,5.11,10.06
8.08,Minnesota Defense,DEF,MIN,92.4,6.06,11.04
8.09,Kevin Curtis,WR,PHI,93.0,6.09,10.08
8.09,Donte Stallworth,WR,CLE,93.4,6.01,10.11
8.10,Felix Jones,RB,DAL,93.7,6.08,11.03
8.11,Todd Heap,TE,BAL,94.7,6.08,12.10
9.01,Vernon Davis,TE,SF,97.5,5.12,12.12
9.02,Justin Fargas,RB,OAK,98.2,6.08,11.08
9.04,Eli Manning,QB,NYG,99.6,6.03,11.07
9.05,Vincent Jackson,WR,SD,101.3,6.11,12.06
9.06,Chicago Defense,DEF,CHI,102.2,7.07,11.06
9.08,New England Defense,DEF,NE,104.1,7.03,13.03
9.09,D.J. Hackett,WR,CAR,105.0,7.03,11.11
9.09,Ray Rice,RB,BAL,105.3,6.07,13.11
9.10,Derrick Mason,WR,BAL,105.6,7.01,12.04
9.11,Jake Delhomme,QB,CAR,106.8,7.04,12.04
9.12,Matt Schaub,QB,HOU,107.7,7.05,12.02
10.01,Ahman Green,RB,HOU,108.5,7.04,13.01
10.01,Jerry Porter,WR,JAC,109.1,7.04,12.05
10.02,Javon Walker,WR,OAK,109.5,7.03,13.01
10.03,Heath Miller,TE,PIT,111.0,6.09,14.06
10.04,Ahmad Bradshaw,RB,NYG,112.3,7.04,13.03
10.05,Kenny Watson,RB,CIN,113.0,6.12,13.07
10.06,Bryant Johnson,WR,SF,113.8,7.06,13.05
10.06,Dallas Defense,DEF,DAL,114.1,8.03,13.02
10.09,Philip Rivers,QB,SD,116.7,7.07,13.04
10.09,Chris Perry,RB,CIN,116.8,5.09,15.12
10.09,NY Giants Defense,DEF,NYG,117.4,7.10,14.03
10.10,Jerious Norwood,RB,ATL,117.8,7.04,13.11
10.10,Reggie Brown,WR,PHI,118.2,7.07,14.03
10.11,Kevin Jones,RB,CHI,118.9,8.02,13.01
10.11,Robert Meachem,WR,NO,119.2,7.06,14.02
10.11,Ted Ginn Jr.,WR,MIA,119.5,6.10,14.07
11.01,Deion Branch,WR,SEA,121.3,8.06,12.11
11.02,Aaron Rodgers,QB,GB,122.1,8.07,13.08
11.02,Chris Brown,RB,HOU,122.5,7.10,14.06
11.03,Reggie Williams,WR,JAC,122.5,7.10,14.04
11.04,Pittsburgh Defense,DEF,PIT,124.4,8.07,14.10
11.05,Ben Watson,TE,NE,124.6,6.05,15.04
11.05,Adam Vinatieri,PK,IND,124.8,7.06,14.05
11.05,Sidney Rice,WR,MIN,125.0,8.02,14.03
11.07,Jon Kitna,QB,DET,127.1,8.09,14.08
11.08,Isaac Bruce,WR,SF,127.8,8.03,13.12
11.09,Buffalo Defense,DEF,BUF,129.3,4.11,15.11
11.10,Tony Scheffler,TE,DEN,129.8,6.09,15.12
11.10,Devin Hester,WR,CHI,130.1,7.12,14.12
11.12,Green Bay Defense,DEF,GB,132.4,9.01,15.12
12.01,Ladell Betts,RB,WAS,132.9,8.10,14.11
12.01,Nick Folk,PK,DAL,132.9,8.07,14.09
12.01,Owen Daniels,TE,HOU,133.5,7.03,15.12
12.02,Jacksonville Defense,DEF,JAC,134.1,9.01,15.03
12.03,Bobby Engram,WR,SEA,134.7,8.08,14.12
12.03,Pierre Thomas,RB,NO,135.4,9.04,15.07
12.04,Kurt Warner,QB,ARI,135.7,8.01,15.12
12.04,DeSean Jackson,WR,PHI,135.9,7.06,15.12
12.05,Steve Slaton,RB,HOU,136.6,8.01,15.12
12.07,Alge Crumpler,TE,TEN,138.6,7.10,15.11
12.07,James Hardy,WR,BUF,139.5,9.03,15.04
12.09,Maurice Morris,RB,SEA,141.1,8.02,15.12
12.09,Vince Young,QB,TEN,141.1,9.09,15.05
12.10,Stephen Gostkowski,PK,NE,141.8,9.07,15.02
12.10,Jason Campbell,QB,WAS,141.9,10.02,15.11
12.10,Cadillac Williams,RB,TB,142.0,8.06,15.11
12.11,LaMont Jordan,RB,NE,143.1,8.12,15.12
12.12,Muhsin Muhammad,WR,CAR,144.3,9.02,15.10
13.04,Chris Henry,WR,CIN,147.8,9.03,15.12
13.04,Tatum Bell,RB,DET,148.4,8.10,15.12
13.05,Seattle Defense,DEF,SEA,148.9,10.01,15.12
13.05,Leon Washington,RB,NYJ,149.4,9.04,15.12
13.06,Jabar Gaffney,WR,NE,150.1,10.01,15.12
13.06,L.J. Smith,TE,PHI,150.2,8.09,15.12
13.06,Limas Sweed,WR,PIT,150.4,10.02,15.12
13.07,Brandon Stokley,WR,DEN,150.8,7.11,15.12
13.07,Terry Glenn,WR,DAL,150.9,9.07,15.06
13.08,Kevin Walter,WR,HOU,151.8,9.12,15.12
13.08,Mason Crosby,PK,GB,152.4,10.10,15.11
13.08,Ronald Curry,WR,OAK,152.4,9.10,15.12
13.09,Brandon Jackson,RB,GB,152.8,9.04,15.12
13.09,Josh Brown,PK,STL,152.8,11.02,15.06
13.10,Darrell Jackson,WR,DEN,153.5,10.10,15.11
13.10,Drew Bennett,WR,STL,153.6,9.01,15.12
13.10,Ryan Torain,RB,DEN,153.9,10.04,15.12
13.10,Baltimore Defense,DEF,BAL,154.1,9.12,15.12
13.10,Eddie Royal,WR,DEN,154.1,9.09,15.12
13.12,Derrick Ward,RB,NYG,156.2,8.08,15.12
13.12,Dustin Keller,TE,NYJ,156.3,9.05,15.12
14.01,Greg Olsen,TE,CHI,156.6,9.11,15.12
14.01,Chris Henry,RB,TEN,156.8,9.05,15.12
14.01,T.J. Duckett,RB,SEA,157.0,9.10,15.12
14.02,Jeff Garcia,QB,TB,157.7,10.07,15.12
14.02,Donald Lee,TE,GB,157.8,9.12,15.12
14.02,Justin Gage,WR,TEN,158.0,10.09,15.12
14.02,Matt Ryan,QB,ATL,158.0,9.11,15.12
14.02,Zach Miller,TE,OAK,158.1,10.06,15.11
14.02,Randy McMichael,TE,STL,158.3,10.04,15.12
14.02,Philadelphia Defense,DEF,PHI,158.5,10.10,16.01
14.03,Nate Kaeding,PK,SD,159.2,11.10,15.11
14.04,Trent Edwards,QB,BUF,159.9,8.12,15.12
14.04,Carolina Defense,DEF,CAR,160.1,8.06,15.12
14.04,Indianapolis Defense,DEF,IND,160.2,11.03,15.12
14.05,Fred Jackson,RB,BUF,160.7,11.12,15.12
14.05,James Jones,WR,GB,160.7,11.02,15.12
14.05,JaMarcus Russell,QB,OAK,160.8,10.11,15.12
14.05,Michael Bush,RB,OAK,160.9,10.11,15.12
14.05,Chad Pennington,QB,MIA,161.0,11.06,15.11
14.05,DeShaun
