pick,name,position,team,overall_adp,high,low
6.12,Lance Moore,WR,NO,72.4,4.09,9.02
7.01,Matt Schaub,QB,HOU,72.5,4.11,9.11
7.01,Santana Moss,WR,WAS,72.8,4.12,9.03
7.02,Cedric Benson,RB,CIN,74.2,5.02,9.02
7.03,Jonathan Stewart,RB,CAR,75.0,5.03,8.11
7.03,Chris Cooley,TE,WAS,75.5,5.04,10.02
7.04,Hines Ward,WR,PIT,75.7,5.02,10.04
7.07,Donald Brown,RB,IND,78.8,5.07,9.07
7.07,Devin Hester,WR,CHI,79.0,5.05,9.09
7.07,Jay Cutler,QB,CHI,79.2,4.10,10.05
7.07,Donald Driver,WR,GB,79.4,5.04,10.02
7.09,Kellen Winslow,TE,TB,81.1,5.09,11.07
7.11,Kevin Walter,WR,HOU,82.5,5.08,9.12
8.02,LeSean McCoy,RB,PHI,85.5,6.02,9.11
8.02,Owen Daniels,TE,HOU,85.9,5.10,11.05
8.02,Carson Palmer,QB,CIN,86.4,5.07,10.09
8.03,Donnie Avery,WR,STL,87.2,6.01,10.03
8.04,Jamal Lewis,RB,CLE,87.5,6.02,10.09
8.04,Pittsburgh Defense,DEF,PIT,87.9,5.10,10.04
8.05,Ahmad Bradshaw,RB,NYG,89.2,6.03,10.11
8.07,Julius Jones,RB,SEA,90.7,6.05,10.12
8.07,Laveranues Coles,WR,CIN,90.9,6.01,10.11
8.08,Percy Harvin,WR,MIN,92.2,6.03,10.07
8.09,Jerricho Cotchery,WR,NYJ,92.5,6.01,10.10
8.10,Derrick Mason,WR,BAL,94.1,6.06,11.02
8.10,Torry Holt,WR,JAC,94.3,6.07,10.11
8.11,Darren Sproles,RB,SD,95.4,6.05,11.09
8.12,Leon Washington,RB,NYJ,95.7,6.02,11.12
9.02,Chris Henry,WR,CIN,97.9,6.09,11.03
9.03,Tim Hightower,RB,ARI,98.9,6.08,12.03
9.05,Baltimore Defense,DEF,BAL,101.4,7.05,11.06
9.06,John Carlson,TE,SEA,101.6,5.10,13.10
9.06,Steve Breaston,WR,ARI,101.8,7.01,11.04
9.08,Rashard Mendenhall,RB,PIT,104.2,7.05,12.04
9.09,Ben Roethlisberger,QB,PIT,104.6,7.01,12.05
9.09,Brett Favre,QB,MIN,105.4,5.09,12.01
9.10,Matt Hasselbeck,QB,SEA,105.7,7.01,12.03
9.11,Ted Ginn Jr.,WR,MIA,107.3,6.12,12.05
10.01,Fred Jackson,RB,BUF,108.8,7.06,12.11
10.02,NY Giants Defense,DEF,NYG,109.5,7.11,13.06
10.02,Chester Taylor,RB,MIN,110.2,7.01,13.04
10.03,Minnesota Defense,DEF,MIN,111.1,8.01,12.03
10.03,Chris Chambers,WR,SD,111.1,7.09,12.06
10.05,Domenik Hixon,WR,NYG,113.2,7.09,12.07
10.08,Jeremy Shockey,TE,NO,116.3,5.06,15.07
10.09,Eli Manning,QB,NYG,116.9,8.03,12.11
10.09,Josh Morgan,WR,SF,116.9,8.05,13.01
10.09,Matt Cassel,QB,KC,116.9,8.06,12.08
10.11,San Diego Defense,DEF,SD,119.0,8.09,14.03
10.11,Michael Crabtree,WR,SF,119.3,7.08,13.06
11.01,Earnest Graham,RB,TB,120.8,8.02,13.08
11.02,Nate Washington,WR,TEN,122.4,8.06,13.05
11.03,Chicago Defense,DEF,CHI,123.1,8.10,14.09
11.03,Kyle Orton,QB,DEN,123.3,8.12,13.04
11.04,Glen Coffee,RB,SF,123.7,8.01,14.05
11.04,Earl Bennett,WR,CHI,123.8,8.07,13.10
11.04,Shonn Greene,RB,NYJ,124.2,8.04,13.09
11.05,Michael Vick,QB,PHI,125.0,1.01,15.01
11.06,Visanthe Shiancoe,TE,MIN,126.4,6.07,15.12
11.07,Philadelphia Defense,DEF,PHI,126.7,8.07,14.11
11.07,Stephen Gostkowski,PK,NE,127.1,7.06,13.08
11.07,Jeremy Maclin,WR,PHI,127.3,8.11,14.02
11.08,Willis McGahee,RB,BAL,128.2,8.05,14.10
11.08,Trent Edwards,QB,BUF,128.4,9.06,13.09
11.10,Dustin Keller,TE,NYJ,129.6,7.02,15.11
11.11,NY Jets Defense,DEF,NYJ,130.7,9.05,15.08
11.12,Justin Gage,WR,TEN,131.6,9.03,14.08
12.01,David Garrard,QB,JAC,132.6,8.10,14.12
12.02,Patrick Crayton,WR,DAL,133.9,8.12,14.09
12.02,Laurence Maroney,RB,NE,133.9,8.07,15.01
12.02,Kevin Curtis,WR,PHI,134.1,9.03,14.05
12.03,Rob Bironas,PK,TEN,134.9,7.10,14.12
12.03,Jake Delhomme,QB,CAR,135.4,9.10,14.12
12.03,Hakeem Nicks,WR,NYG,135.4,9.03,15.01
12.04,Tennessee Defense,DEF,TEN,136.3,9.07,15.10
12.07,Nate Burleson,WR,SEA,138.6,9.07,15.01
12.07,Miles Austin,WR,DAL,139.0,9.10,14.04
12.08,James Davis,RB,CLE,140.4,8.08,15.12
12.08,Le'Ron McClain,RB,BAL,140.4,8.09,15.03
12.08,Jerious Norwood,RB,ATL,140.5,9.01,15.07
12.10,Joey Galloway,WR,NE,142.3,10.01,15.08
12.11,Fred Taylor,RB,NE,142.9,9.02,15.10
12.12,Anthony Fasano,TE,MIA,144.4,5.11,15.12
12.12,Steve Smith(NYG),WR,NYG,144.4,8.11,15.10
13.01,Kevin Boss,TE,NYG,144.5,8.05,15.12
13.01,Chad Pennington,QB,MIA,145.4,9.09,15.11
13.03,Edgerrin James,RB,SEA,146.7,9.03,15.10
13.03,Green Bay Defense,DEF,GB,146.8,9.10,15.12
13.03,Peyton Hillis,RB,DEN,147.0,9.04,15.12
13.03,Joe Flacco,QB,BAL,147.0,9.10,15.12
13.03,Zach Miller,TE,OAK,147.0,8.11,15.12
13.03,Robert Meachem,WR,NO,147.4,10.02,15.09
13.04,Darrius Heyward-Bey,WR,OAK,148.2,8.04,15.12
13.04,Adam Vinatieri,PK,IND,148.3,9.03,15.12
13.06,New England Defense,DEF,NE,149.7,10.07,15.12
13.08,Heath Miller,TE,PIT,151.6,8.11,15.12
13.10,Troy Williamson,WR,JAC,153.6,10.09,15.12
13.10,Ricky Williams,RB,MIA,153.8,9.11,15.12
13.10,Carnell Williams,RB,TB,153.8,9.06,15.12
13.10,Jamaal Charles,RB,KC,154.2,10.05,15.12
13.11,Nick Folk,PK,DAL,155.3,10.09,15.04
13.11,Deion Branch,WR,SEA,155.4,10.03,15.11
13.11,Vernon Davis,TE,SF,155.5,9.08,15.12
13.12,Josh Cribbs,WR,CLE,155.8,10.02,15.12
13.12,Brent Celek,TE,PHI,155.9,10.03,15.12
13.12,Matthew Stafford,QB,DET,155.9,10.12,15.11
13.12,Davone Bess,WR,MIA,156.0,10.08,15.12
13.12,Nate Kaeding,PK,SD,156.1,11.05,15.06
14.01,Michael Bush,RB,OAK,156.6,9.11,15.12
14.01,Ladell Betts,RB,WAS,156.7,11.04,15.12
14.01,Tony Scheffler,TE,DEN,156.9,9.12,15.12
14.01,Muhsin Muhammad,WR,CAR,157.4,10.11,15.12
14.02,Correll Buckhalter,RB,DEN,157.7,10.04,15.12
14.02,Mark Sanchez,QB,NYJ,158.0,10.09,15.12
14.04,Brady Quinn,QB,CLE,159.7,8.02,15.12
14.04,Jacksonville Defense,DEF,JAC,160.5,7.09,15.12
14.05,Dallas Defense,DEF,DAL,161.0,11.12,15.12
14.05,Devery Henderson,WR,NO,161.1,11.01,15.11
14.05,Mason Crosby,PK,GB,161.5,11.07,15.12
14.06,Jason Campbell,QB,WAS,161.8,11.10,15.12
14.06,Washington Defense,DEF,WAS,162.0,11.07,15.12
14.06,Kenny Britt,WR,TEN,162.4,11.04,15.12
14.09,Miami Defense,DEF,MIA,164.6,11.10,15.10
14.09,Chaz Schilens,WR,OAK,164.9,12.11,15.12
14.10,Isaac Bruce,WR,SF,165.8,11.06,15.12
14.10,Jermichael Finley,TE,GB,165.9,12.11,15.12
15.01,Jason Elam,PK,ATL,168.6,11.08,15.12
15.01,Garrett Hartley,PK,NO,168.9,13.03,15.12
15.01,Ryan Longwell,PK,MIN,169.3,12.08,15.12
15.02,Robbie Gould,PK,CHI,169.5,12.11,15.12
15.02,David Akers,PK,PHI,169.9,11.09,15.12
15.03,Kris Brown,PK,HOU,171.0,12.07,15.12
15.04,Neil Rackers,PK,ARI,172.4,13.07,15.12
