player,name,position,team,mean_adp,median_adp,n_drafts,player_norm,sleeper_rank,rtsports_rank,fftoday_espn_rank,avg_rank,position_fft
15261,"Hubbard, Chuba",RB,CAR,48.6031746031746,48.0,189,chuba hubbard,46,39.0,40.0,41.7,RB
14102,"Metcalf, DK",WR,PIT,53.06878306878307,53.0,189,dk metcalf,45,53.0,47.0,48.3,WR
13630,"Sutton, Courtland",WR,DEN,54.88421052631579,53.0,190,courtland sutton,52,50.0,57.0,53.0,WR
13635,"Moore, D.J.",WR,CHI,56.55789473684211,55.0,190,dj moore,49,51.0,53.0,51.0,WR
16214,"LaPorta, Sam",TE,DET,57.95744680851064,54.0,188,sam laporta,47,65.0,49.0,53.7,TE
17068,"Harvey, RJ",RB,DEN,59.080213903743314,57.0,187,rj harvey,64,48.0,75.0,62.3,RB
13590,"Mayfield, Baker",QB,TBB,59.252631578947366,58.0,190,baker mayfield,65,73.0,52.0,63.3,QB
16620,"Worthy, Xavier",WR,KCC,60.05820105820106,60.0,189,xavier worthy,57,61.0,50.0,56.0,WR
13319,"Jones, Aaron",RB,MIN,60.373684210526314,59.0,190,aaron jones,67,57.0,69.0,64.3,RB
16190,"Flowers, Zay",WR,BAL,62.67021276595744,61.0,188,zay flowers,56,68.0,55.0,59.7,WR
17071,"McMillan, Tetairoa",WR,CAR,62.86772486772487,60.0,189,tetairoa mcmillan,62,52.0,72.0,62.0,WR
14797,"Swift, D'Andre",RB,CHI,64.06842105263158,62.0,190,dandre swift,68,47.0,54.0,56.3,RB
15756,"Williams, Jameson",WR,DET,64.7127659574468,63.0,188,jameson williams,63,64.0,66.0,64.3,WR
15749,"Pacheco, Isiah",RB,KCC,65.08421052631579,64.0,190,isiah pacheco,60,55.0,63.0,59.3,RB
15282,"Smith, DeVonta",WR,PHI,65.47340425531915,64.0,188,devonta smith,55,60.0,62.0,59.0,WR
14071,"Montgomery, David",RB,DET,67.17647058823529,68.0,187,david montgomery,53,58.0,59.0,56.7,RB
16582,"Nix, Bo",QB,DEN,67.27127659574468,69.0,188,bo nix,72,77.0,68.0,72.3,QB
15762,"Pickens, George",WR,DAL,68.76595744680851,67.0,188,george pickens,59,62.0,65.0,62.0,WR
11244,"Kelce, Travis",TE,KCC,69.47340425531915,68.5,188,travis kelce,61,63.0,58.0,60.7,TE
14085,"Pollard, Tony",RB,TEN,71.05319148936171,68.5,188,tony pollard,74,54.0,70.0,66.0,RB
13629,"Ridley, Calvin",WR,TEN,72.7663043478261,69.5,184,calvin ridley,70,56.0,61.0,62.3,WR
14833,"Jeudy, Jerry",WR,CLE,73.2054054054054,70.0,185,jerry jeudy,75,67.0,67.0,69.7,WR
14056,"Murray, Kyler",QB,ARI,75.98395721925134,75.0,187,kyler murray,93,106.0,77.0,92.0,QB
13671,"Andrews, Mark",TE,BAL,76.78888888888889,74.0,180,mark andrews,71,92.0,73.0,78.7,TE
15754,"Olave, Chris",WR,NOS,78.93010752688173,77.0,186,chris olave,76,82.0,84.0,80.7,WR
14138,"Hockenson, T.J.",TE,MIN,79.05555555555556,77.0,180,tj hockenson,58,76.0,56.0,63.3,TE
17074,"Hunter, Travis",WR,JAC,79.42162162162163,78.0,185,travis hunter,66,74.0,74.0,71.3,WR
12611,"Goff, Jared",QB,DET,80.2872340425532,78.5,188,jared goff,88,116.0,120.0,108.0,QB
16616,"Odunze, Rome",WR,CHI,83.46153846153847,80.0,182,rome odunze,80,83.0,76.0,79.7,WR
15742,"Warren, Jaylen",RB,PIT,83.88829787234043,84.0,188,jaylen warren,96,72.0,85.0,84.3,RB
16194,"Rice, Rashee",WR,KCC,84.3757225433526,82.0,173,rashee rice,51,70.0,60.0,60.3,WR
12620,"Prescott, Dak",QB,DAL,85.57219251336899,85.0,187,dak prescott,115,93.0,101.0,103.0,QB
15284,"Waddle, Jaylen",WR,MIA,85.57608695652173,82.5,184,jaylen waddle,69,78.0,64.0,70.3,WR
13192,"Njoku, David",TE,CLE,85.92696629213484,82.0,178,david njoku,84,101.0,71.0,85.3,TE
